Symbol,Name,Current Price,RS Score,MA_50,MA_150,MA_200,52 Week High,52 Week Low
1418,インターライフホールディングス,398.0,84.25925925925925,395.22,349.05333333333334,334.49,480.0,213.0
1803,清水建設,1585.0,84.68888108307743,1491.4,1347.8839998372396,1256.9034994506835,1641.5,806.4000244140625
1871,ピーエス・コンストラクション,1774.0,74.7783251231527,1583.62,1348.3533333333332,1263.795,1821.0,842.0
1909,日本ドライケミカル,4900.0,88.46153846153845,4263.3,4103.666666666667,3860.615,4910.0,2191.0
1921,巴コーポレーション,1376.0,70.71960297766748,1349.74,1154.0733333333333,1094.23,1488.0,756.0
1948,弘電社,2393.0,93.13962873284906,2085.26,1954.0333333333333,1810.62,2467.0,1048.0
1949,住友電設,6180.0,73.109243697479,5432.7,5008.033333333334,4780.875,6640.0,2963.0
1961,三機工業,3900.0,74.96635262449529,3584.02,3260.2533333333336,3029.01,3980.0,1825.0
1965,テクノ菱和,3470.0,93.85474860335195,2949.56,2765.4266666666667,2523.79,3470.0,1160.0
1975,朝日工業社,2406.0,73.34293948126802,2095.6,2039.0266666666666,1857.36,2478.0,1070.0
2216,カンロ,4350.0,81.62839248434237,3888.16,3545.713333333333,3442.655,4480.0,2341.0
2326,デジタルアーツ,7620.0,105.39083557951483,6908.6,6370.133333333333,5966.875,7790.0,3440.0
2334,イオレ,1290.0,71.08753315649867,955.48,663.3666666666667,661.055,1401.0,461.0
2700,木徳神糧,12120.0,109.6885813148789,9933.4,7260.8,6853.65,14270.0,5110.0
2983,アールプランナー,1703.0,124.9669749009247,1401.4,1391.0466666666666,1326.935,1703.0,753.0
3046,ジンズホールディングス,8390.0,128.29931972789117,8388.2,7204.733333333334,6736.125,9070.0,3675.0
3070,ジェリービーンズグループ,197.0,84.11214953271029,127.64,119.85333333333334,117.755,210.0,69.0
3135,マーケットエンタープライズ,1587.0,83.89339513325609,1518.28,1354.46,1247.02,1763.0,699.0
3189,ＡＮＡＰ,1326.0,452.50000000000006,657.4,489.12666666666667,434.81,1414.0,225.0
3341,日本調剤,3270.0,134.2406876790831,2769.22,1852.94,1723.77,3335.0,1113.0
3350,メタプラネット,1509.0,2186.3636363636365,729.56,492.7320001220703,398.29400009155273,1608.0,64.30000305175781
3399,丸千代山岡家,6120.0,95.52715654952078,4704.6,4203.266666666666,4005.35,6230.0,2510.0
3409,北日本紡績,202.0,104.04040404040403,179.3,129.26,117.83,216.0,68.0
3486,グローバル・リンク・マネジメント,2007.0,86.87150837988827,1930.26,1659.98,1525.545,2199.0,721.0
3529,アツギ,1120.0,76.65615141955836,1048.96,1026.7066666666667,969.535,1236.0,572.0
3542,ベガコーポレーション,1380.0,89.82118294360386,1086.78,842.4866666666667,831.68,1411.0,586.0
3562,Ｎｏ．１,2000.0,100.0,1900.74,1880.08,1645.26,2143.0,830.0
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,6597.0,133.52212389380531,5555.86,4282.973333333333,3909.295,6597.0,2019.0
3565,アセンテック,1409.0,147.19298245614033,1258.48,1032.76,925.155,1484.0,421.0
3662,エイチーム,1184.0,75.14792899408285,1051.64,940.0066666666667,866.275,1227.0,532.0
3663,セルシス,1545.0,86.81983071342201,1365.5,1324.0933333333332,1273.095,1551.0,690.0
3683,サイバーリンクス,1316.0,80.02735978112175,1138.16,953.4933333333333,901.605,1386.0,633.0
3692,ＦＦＲＩセキュリティ,5160.0,180.8927599346761,3980.38,2931.4466666666667,2731.94,5480.0,1669.0
3691,デジタルプラス,966.0,87.57281553398057,743.68,717.5266666666666,681.04,966.0,402.0
3698,ＣＲＩ・ミドルウェア,1368.0,71.42857142857142,1172.08,935.3666666666667,883.82,1445.0,656.0
3763,プロシップ,2672.0,89.10120311394196,2279.64,1825.2866666666666,1736.065,2720.0,1231.0
3850,エヌ・ティ・ティ・データ・イントラマート,3700.0,98.81783987103707,3110.54,2757.3,2660.52,4285.0,1801.0
3903,ｇｕｍｉ,703.0,91.55313351498637,495.02,454.2733333333333,420.125,703.0,238.0
3913,ＧｒｅｅｎＢｅｅ,1233.0,90.57187017001544,716.62,626.3733333333333,619.435,1233.0,483.0
3920,アイビーシー,970.0,107.70877944325483,817.56,717.9333333333333,675.525,999.0,406.0
3930,はてな,1401.0,91.91780821917807,1390.96,1193.9333333333334,1095.035,1678.0,725.0
3935,エディア,689.0,99.13294797687861,569.24,486.26,459.54,697.0,280.0
3989,シェアリングテクノロジー,1095.0,101.28676470588233,1075.42,983.3133333333334,940.995,1224.0,544.0
4013,勤次郎,895.0,114.11483253588517,736.6,545.2,505.39,929.0,275.0
4019,スタメン,1024.0,79.64912280701755,967.04,866.36,838.23,1049.0,490.0
4058,トヨクモ,3065.0,106.6756574511126,2594.92,2330.86,2260.855,3305.0,1287.0
4258,網屋,6160.0,185.05321610365573,4634.3,3762.7733333333335,3619.43,6160.0,2011.0
4298,プロトコーポレーション,28435374080.0,2101653564.4493718,3985035875.98,1328346362.1733334,996260134.115,28476190720.0,1209.0
4377,ワンキャリア,2200.0,94.4035415996763,1928.58,1717.0844474283854,1651.0133367919923,2314.0,943.3333129882812
4393,バンク・オブ・イノベーション,10460.0,127.14440825190012,9262.0,7603.233333333334,7054.75,10800.0,3945.0
4412,サイエンスアーツ,1122.0,93.11531841652322,952.06,716.24,676.515,1184.0,411.0
