Symbol,Name,Current Price,RS Score,MA_50,MA_150,MA_200,52 Week High,52 Week Low
1418,インターライフホールディングス,480.0,128.57142857142856,370.16,322.56666666666666,306.895,480.0,207.0
1921,巴コーポレーション,1288.0,77.41046831955923,1187.3,1022.0333333333333,980.77,1321.0,686.0
2432,ディー・エヌ・エー,3428.0,125.82345191040845,3423.41,2598.693333333333,2344.8975,4025.0,1289.0
3046,ジンズホールディングス,7480.0,73.14814814814814,6864.2,6280.966666666666,5802.575,7480.0,3260.0
3189,ＡＮＡＰ,460.0,107.20720720720722,455.24,370.05333333333334,365.835,560.0,218.0
3264,アスコット,258.0,73.15436241610738,255.52,219.37333333333333,208.945,260.0,127.0
3271,ＴＨＥグローバル社,935.0,101.50862068965516,776.4,684.5466666666666,644.87,944.0,372.0
3328,ＢＥＥＮＯＳ,3990.0,88.92045454545455,3980.9,3470.66,3215.925,4070.0,2033.0
3565,アセンテック,1114.0,100.72072072072072,1053.88,839.44,769.91,1275.0,421.0
3666,テクノスジャパン,1153.0,95.42372881355932,1113.94,855.8133333333334,825.695,1153.0,565.0
3692,ＦＦＲＩセキュリティ,3240.0,72.89220917822838,2950.26,2380.42,2297.06,3795.0,1669.0
3989,シェアリングテクノロジー,1047.0,110.66398390342052,994.96,909.2733333333333,846.35,1095.0,497.0
4258,網屋,3930.0,102.0565552699229,3492.36,3309.98,3150.29,4015.0,1884.0
4267,ライトワークス,2176.0,117.60000000000002,1695.72,1269.3466666666666,1202.675,2176.0,881.0
4393,バンク・オブ・イノベーション,8240.0,87.27272727272728,7818.4,6461.166666666667,6088.65,9720.0,3775.0
4435,カオナビ,4390.0,169.65601965601965,3778.52,2610.5333333333333,2368.595,4460.0,1305.0
4439,東名,2310.0,99.91345737775855,2233.44,2100.5866666666666,1906.45,2519.0,1000.0
4592,サンバイオ,1805.0,322.71662763466037,1217.74,1041.3866666666668,1037.575,1805.0,390.0
4784,ＧＭＯインターネット,1839.0,448.95522388059703,1243.76,831.5133333333333,744.53,1839.0,332.0
5029,サークレイス,1104.0,124.39024390243904,1018.56,723.26,671.93,1138.0,400.0
5161,西川ゴム工業,2251.0,122.10162802170697,2082.82,1363.85,1259.4075,2482.5,857.0
5482,愛知製鋼,7190.0,84.83290488431876,7072.0,5320.7,4830.335,7930.0,2707.0
5721,エス・サイエンス,97.0,321.7391304347826,47.44,30.526666666666667,28.615,119.0,19.0
5843,ニッポンインシュア,1744.0,100.0,1532.88,1182.1866666666667,1099.73,1760.0,678.0
5888,ＤＡＩＷＡ　ＣＹＣＬＥ,3895.0,103.18205529473134,3755.1,3428.1466666666665,3275.535,4625.0,1821.0
6226,守谷輸送機工業,2669.0,121.3101160862355,2564.22,2357.4,2146.85,2851.0,1066.0
6231,木村工機,8490.0,78.92518440463645,7492.4,6007.333333333333,5761.35,8490.0,3470.0
6532,ベイカレント,7601.0,166.74855237761014,6542.98,5722.926666666666,5302.535,7601.0,2833.5
6715,ナカヨ,2550.0,123.29246935201401,2141.58,1467.0666666666666,1392.34,2550.0,998.0
6836,ぷらっとホーム,1768.0,595.1507347407056,1240.7066662597656,1058.940000406901,900.1933335113525,1768.0,227.6666717529297
7011,三菱重工業,2484.5,77.9727793696275,2363.34,2226.2733333333335,2120.0525,2890.5,1242.0
7013,ＩＨＩ,10130.0,153.88471177944862,9996.0,8694.733333333334,7827.72,11820.0,3539.0
7097,さくらさくプラス,2023.0,85.25641025641026,1967.58,1508.04,1371.995,2420.0,780.0
7115,アルファパーチェス,2139.0,96.05866177818515,1543.58,1219.44,1184.205,2139.0,828.0
7273,イクヨ,4700.0,88.30128205128204,3655.8,2952.6466666666665,2732.02,4705.0,1580.0
7453,良品計画,4414.0,83.41990442551423,4025.54,3344.94,3178.5675,4484.0,2211.5
7678,あさくま,3950.0,78.16869643662608,3911.6,3909.3333333333335,3884.0,4530.0,2148.0
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2655.0,86.3811863811864,2606.8,2578.4333333333334,2457.925,2950.0,1284.0
7732,トプコン,3160.0,83.77435300959581,2937.64,2274.3633333333332,2121.695,3256.0,1246.0
8107,キムラタン,52.0,188.88888888888889,47.24,32.56666666666667,28.69,62.0,16.0
9070,トナミホールディングス,10090.0,123.23008849557522,8627.2,6841.333333333333,6642.85,10340.0,4520.0
9072,ニッコンホールディングス,2920.5,105.8864998237575,2464.19,2128.0833333333335,2049.395,2920.5,1418.5
9302,三井倉庫ホールディングス,8560.0,85.08108108108108,7845.0,7253.4,6669.175,8600.0,4160.0
9467,アルファポリス,1397.0,109.44527736131934,1226.56,997.884443766276,924.7783334350586,1435.0,567.6666870117188
9766,コナミグループ,18300.0,81.00890207715135,17740.3,15471.4,14518.4,19110.0,9078.0
