Symbol,Name,Current Price,RS Score,MA_50,MA_150,MA_200,52 Week High,52 Week Low
1491,中外鉱業,68.0,126.66666666666666,42.86,33.85333333333333,32.745,87.0,25.0
1921,巴コーポレーション,1150.0,80.25078369905955,1094.98,973.4133333333333,932.865,1321.0,635.0
2432,ディー・エヌ・エー,3379.0,175.3871230643847,3112.43,2308.2466666666664,2116.6675,4025.0,1227.0
2983,アールプランナー,1484.0,119.85185185185183,1437.4,1245.76,1153.075,1655.0,665.0
3106,倉敷紡績,6490.0,98.16793893129771,5724.2,5164.233333333334,5040.825,6490.0,3150.0
3189,ＡＮＡＰ,483.0,113.71681415929204,406.92,343.68666666666667,338.07,560.0,214.0
3205,ダイドーリミテッド,1175.0,85.62401263823065,1038.58,934.1666666666666,894.53,1213.0,532.0
3264,アスコット,259.0,117.64705882352939,227.62,205.62666666666667,194.785,260.0,117.0
3328,ＢＥＥＮＯＳ,3980.0,122.47065399664616,3975.0,3243.4866666666667,2995.32,4070.0,1789.0
3529,アツギ,1080.0,80.6020066889632,1036.24,901.7666666666667,834.225,1149.0,543.0
3666,テクノスジャパン,1151.0,87.45928338762215,943.18,789.1333333333333,763.675,1151.0,565.0
3726,フォーシーズＨＤ,829.0,72.70833333333333,563.72,514.3933333333333,510.335,935.0,460.0
3815,メディア工房,526.0,143.5185185185185,501.92,479.22,463.44,685.0,215.0
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,143.0,266.66666666666663,53.88,37.906666666666666,37.58,143.0,23.0
3920,アイビーシー,725.0,70.18779342723005,705.14,606.3466666666667,575.87,767.0,403.0
3989,シェアリングテクノロジー,987.0,91.27906976744187,924.92,851.34,787.565,1046.0,427.0
4435,カオナビ,4365.0,113.55185909980432,2596.04,2178.713333333333,2021.58,4370.0,1305.0
4439,東名,2310.0,86.44067796610169,2245.38,1975.5833333333333,1786.8825,2519.0,1000.0
4506,住友ファーマ,714.0,94.0217391304348,651.96,606.62,545.345,807.0,285.0
4784,ＧＭＯインターネット,1175.0,245.58823529411765,1080.58,688.0733333333334,624.47,1356.0,332.0
4914,高砂香料工業,6810.0,98.83211678832117,5733.2,5306.7,4916.875,6860.0,3285.0
5029,サークレイス,941.0,97.6890756302521,887.76,640.7866666666666,614.285,1138.0,400.0
5161,西川ゴム工業,4715.0,133.53145121347202,2990.08,2273.3333333333335,2196.15,4965.0,1714.0
5262,日本ヒューム,1877.0,101.8279569892473,1525.92,1347.7,1298.735,1982.0,816.0
5482,愛知製鋼,7410.0,101.35869565217392,6121.7,4687.18,4413.935,7790.0,2707.0
5631,日本製鋼所,5850.0,117.99888205701508,5679.5,5349.3533333333335,5135.295,6885.0,2683.5
5729,日本精鉱,5890.0,121.84557438794728,4520.6,3639.04,3463.805,6620.0,2445.0
5838,楽天銀行,5712.0,99.23264736658528,4963.12,3939.7533333333336,3681.975,5934.0,2639.0
5843,ニッポンインシュア,1540.0,73.61894024802706,1321.82,1045.2333333333333,1005.51,1659.0,678.0
5929,三和ホールディングス,5045.0,92.55725190839695,4684.98,4069.2266666666665,3788.325,5106.0,2452.5
5992,中央発條,1716.0,128.19148936170214,1466.6,1297.5466666666666,1268.335,1716.0,740.0
6045,レントラックス,1170.0,166.5148063781321,886.72,736.5133333333333,668.235,1275.0,427.0
6135,牧野フライス製作所,11280.0,83.41463414634147,11082.0,7777.666666666667,7512.45,12010.0,4810.0
6405,鈴茂器工,2560.0,140.6015037593985,2108.46,1768.3066666666666,1681.88,2560.0,1064.0
6433,ヒーハイスト,454.0,70.67669172932331,416.38,307.7133333333333,293.37,456.0,200.0
6507,シンフォニアテクノロジー,6710.0,146.41939037825927,6380.2,5391.573333333334,4912.83,7040.0,2327.0
6532,ベイカレント,6236.0,91.28834355828221,6125.96,5388.706666666667,4917.695,7031.0,2833.5
6562,ジーニー,1776.0,89.33901918976545,1638.56,1442.54,1344.475,1876.0,808.0
6648,かわでん,3990.0,70.51282051282051,3088.5,2773.713333333333,2733.6,4175.0,2200.0
6715,ナカヨ,2541.0,121.72774869109948,1455.48,1246.6133333333332,1227.225,2541.0,998.0
7011,三菱重工業,2489.0,105.87262200165428,2191.02,2103.193333333333,1980.07,2520.5,1181.0
7012,川崎重工業,8740.0,105.84079133301931,7283.9,6197.346666666666,6121.585,9120.0,3850.0
7013,ＩＨＩ,10835.0,227.3413897280967,9083.32,7876.92,7035.085,11430.0,3296.0
7698,アイスコ,1831.0,135.3470437017995,1773.4,1665.5666666666666,1590.5175,1871.0,776.5
7760,ＩＭＶ,1622.0,189.64285714285714,1282.04,941.74,899.35,1622.0,512.0
7906,ヨネックス,2334.0,107.46666666666668,2206.24,2080.04,2020.52,2546.0,1070.0
8136,サンリオ,6286.0,126.65866049718595,5854.52,4695.61,4222.4375,7180.0,2341.0
8152,ソマール,7440.0,104.39560439560438,6272.8,5480.566666666667,5221.2,7440.0,3060.0
8769,アドバンテッジリスクマネジメント,696.0,71.007371007371,601.12,589.0333333333333,566.54,750.0,370.0
8836,ＲＩＳＥ,34.0,88.88888888888889,24.82,23.006666666666668,21.825,37.0,16.0
8929,青山財産ネットワークス,1907.0,79.39793038570085,1903.7,1620.6533333333334,1575.105,2056.0,1048.0
9070,トナミホールディングス,10230.0,134.6330275229358,6615.0,6144.666666666667,6035.725,10240.0,4295.0
9073,京極運輸商事,1260.0,93.84615384615384,1185.12,982.9066666666666,980.01,1599.0,636.0
9467,アルファポリス,1270.0,85.85366407005239,1101.1466674804688,897.5355550130208,844.6250003051758,1270.0,567.6666870117188
9554,ＡＶｉＣ,1565.0,84.11764705882352,1437.14,1189.7066666666667,1161.06,1608.0,731.0
9704,アゴーラ　ホスピタリティー　グループ,65.0,75.67567567567568,55.0,48.86,48.715,81.0,34.0
